,id,league_name,season,HomeGoals,AwayGoals
0,2109,England Premier League,2009/2010,1,0
1,2110,England Premier League,2009/2010,2,1
2,2111,England Premier League,2009/2010,0,2
3,2112,England Premier League,2009/2010,1,6
4,2113,England Premier League,2009/2010,0,2
5,2114,England Premier League,2009/2010,0,2
6,2115,England Premier League,2009/2010,0,1
7,2116,England Premier League,2009/2010,0,1
8,2117,England Premier League,2009/2010,2,0
9,2118,England Premier League,2009/2010,2,1
10,2119,England Premier League,2009/2010,1,3
11,2120,England Premier League,2009/2010,5,0
12,2121,England Premier League,2009/2010,3,2
13,2122,England Premier League,2009/2010,2,1
14,2123,England Premier League,2009/2010,0,1
15,2124,England Premier League,2009/2010,2,2
16,2125,England Premier League,2009/2010,1,1
17,2126,England Premier League,2009/2010,0,0
18,2127,England Premier League,2009/2010,2,0
19,2128,England Premier League,2009/2010,2,2
20,2129,England Premier League,2009/2010,4,0
21,2130,England Premier League,2009/2010,2,0
22,2131,England Premier League,2009/2010,3,1
23,2132,England Premier League,2009/2010,1,1
24,2133,England Premier League,2009/2010,2,0
25,2134,England Premier League,2009/2010,0,4
26,2135,England Premier League,2009/2010,0,0
27,2136,England Premier League,2009/2010,3,0
28,2137,England Premier League,2009/2010,2,2
29,2138,England Premier League,2009/2010,2,2
30,2139,England Premier League,2009/2010,1,1
31,2140,England Premier League,2009/2010,2,1
32,2141,England Premier League,2009/2010,1,4
33,2142,England Premier League,2009/2010,1,2
34,2143,England Premier League,2009/2010,2,0
35,2144,England Premier League,2009/2010,3,3
36,2145,England Premier League,2009/2010,2,2
37,2146,England Premier League,2009/2010,5,1
38,2147,England Premier League,2009/2010,3,1
39,2148,England Premier League,2009/2010,1,0
40,2149,England Premier League,2009/2010,1,0
41,2150,England Premier League,2009/2010,1,0
42,2151,England Premier League,2009/2010,1,0
43,2152,England Premier League,2009/2010,1,1
44,2153,England Premier League,2009/2010,4,0
45,2154,England Premier League,2009/2010,3,3
46,2155,England Premier League,2009/2010,2,2
47,2156,England Premier League,2009/2010,3,0
48,2157,England Premier League,2009/2010,9,1
49,2158,England Premier League,2009/2010,0,2
50,2159,England Premier League,2009/2010,1,4
51,2160,England Premier League,2009/2010,5,3
52,2161,England Premier League,2009/2010,0,1
53,2162,England Premier League,2009/2010,1,1
54,2163,England Premier League,2009/2010,1,1
55,2164,England Premier League,2009/2010,0,2
56,2165,England Premier League,2009/2010,0,0
57,2166,England Premier League,2009/2010,1,1
58,2167,England Premier League,2009/2010,0,3
59,2168,England Premier League,2009/2010,1,0
60,2169,England Premier League,2009/2010,2,0
61,2170,England Premier League,2009/2010,0,4
62,2171,England Premier League,2009/2010,2,3
63,2172,England Premier League,2009/2010,2,1
64,2173,England Premier League,2009/2010,2,1
65,2174,England Premier League,2009/2010,1,0
66,2175,England Premier League,2009/2010,2,2
67,2176,England Premier League,2009/2010,0,0
68,2177,England Premier League,2009/2010,3,0
69,2178,England Premier League,2009/2010,2,0
70,2179,England Premier League,2009/2010,0,1
71,2180,England Premier League,2009/2010,2,2
72,2181,England Premier League,2009/2010,1,1
73,2182,England Premier League,2009/2010,0,1
74,2183,England Premier League,2009/2010,1,2
75,2184,England Premier League,2009/2010,0,0
76,2185,England Premier League,2009/2010,3,3
77,2186,England Premier League,2009/2010,1,1
78,2187,England Premier League,2009/2010,3,3
79,2188,England Premier League,2009/2010,1,0
80,2189,England Premier League,2009/2010,3,0
81,2190,England Premier League,2009/2010,0,2
82,2191,England Premier League,2009/2010,3,2
83,2192,England Premier League,2009/2010,3,0
84,2193,England Premier League,2009/2010,3,2
85,2194,England Premier League,2009/2010,1,1
86,2195,England Premier League,2009/2010,3,1
87,2196,England Premier League,2009/2010,2,1
88,2197,England Premier League,2009/2010,2,1
89,2198,England Premier League,2009/2010,2,1
90,2199,England Premier League,2009/2010,3,0
91,2200,England Premier League,2009/2010,2,0
92,2201,England Premier League,2009/2010,0,0
93,2202,England Premier League,2009/2010,1,1
94,2203,England Premier League,2009/2010,2,0
95,2204,England Premier League,2009/2010,4,3
96,2205,England Premier League,2009/2010,3,0
97,2206,England Premier League,2009/2010,1,1
98,2207,England Premier League,2009/2010,0,2
99,2208,England Premier League,2009/2010,1,0
100,2209,England Premier League,2009/2010,1,1
101,2210,England Premier League,2009/2010,2,0
102,2211,England Premier League,2009/2010,1,1
103,2212,England Premier League,2009/2010,2,0
104,2213,England Premier League,2009/2010,2,0
105,2214,England Premier League,2009/2010,1,3
106,2215,England Premier League,2009/2010,0,0
107,2216,England Premier League,2009/2010,1,1
108,2217,England Premier League,2009/2010,0,0
109,2218,England Premier League,2009/2010,3,0
110,2219,England Premier League,2009/2010,4,2
111,2220,England Premier League,2009/2010,1,3
112,2221,England Premier League,2009/2010,2,1
113,2222,England Premier League,2009/2010,3,0
114,2223,England Premier League,2009/2010,1,0
115,2224,England Premier League,2009/2010,1,5
116,2225,England Premier League,2009/2010,1,0
117,2226,England Premier League,2009/2010,0,1
118,2227,England Premier League,2009/2010,4,0
119,2228,England Premier League,2009/2010,0,2
120,2229,England Premier League,2009/2010,0,3
121,2230,England Premier League,2009/2010,2,0
122,2231,England Premier League,2009/2010,0,1
123,2232,England Premier League,2009/2010,1,4
124,2233,England Premier League,2009/2010,2,0
125,2234,England Premier League,2009/2010,2,1
126,2235,England Premier League,2009/2010,2,2
127,2236,England Premier League,2009/2010,2,2
128,2237,England Premier League,2009/2010,0,1
129,2238,England Premier League,2009/2010,5,0
130,2239,England Premier League,2009/2010,1,2
131,2240,England Premier League,2009/2010,1,3
132,2241,England Premier League,2009/2010,4,1
133,2242,England Premier League,2009/2010,2,0
134,2243,England Premier League,2009/2010,1,1
135,2244,England Premier League,2009/2010,1,0
136,2245,England Premier League,2009/2010,1,1
137,2246,England Premier League,2009/2010,4,0
138,2247,England Premier League,2009/2010,1,1
139,2248,England Premier League,2009/2010,2,2
140,2249,England Premier League,2009/2010,1,2
141,2250,England Premier League,2009/2010,1,1
142,2251,England Premier League,2009/2010,0,0
143,2252,England Premier League,2009/2010,0,2
144,2253,England Premier League,2009/2010,3,0
145,2254,England Premier League,2009/2010,2,0
146,2255,England Premier League,2009/2010,7,2
147,2256,England Premier League,2009/2010,0,2
148,2257,England Premier League,2009/2010,2,0
149,2258,England Premier League,2009/2010,0,0
150,2259,England Premier League,2009/2010,0,0
151,2260,England Premier League,2009/2010,2,0
152,2261,England Premier League,2009/2010,1,1
153,2262,England Premier League,2009/2010,1,1
154,2263,England Premier League,2009/2010,4,0
155,2264,England Premier League,2009/2010,1,0
156,2265,England Premier League,2009/2010,2,0
157,2266,England Premier League,2009/2010,3,0
158,2267,England Premier League,2009/2010,2,1
159,2268,England Premier League,2009/2010,0,0
160,2269,England Premier League,2009/2010,0,0
161,2270,England Premier League,2009/2010,0,1
162,2271,England Premier League,2009/2010,0,0
163,2272,England Premier League,2009/2010,2,0
164,2273,England Premier League,2009/2010,2,0
165,2274,England Premier League,2009/2010,2,2
166,2275,England Premier League,2009/2010,0,2
167,2276,England Premier League,2009/2010,1,2
168,2277,England Premier League,2009/2010,1,3
169,2278,England Premier League,2009/2010,1,1
170,2279,England Premier League,2009/2010,5,0
171,2280,England Premier League,2009/2010,3,0
172,2281,England Premier League,2009/2010,1,1
173,2282,England Premier League,2009/2010,0,0
174,2283,England Premier League,2009/2010,2,1
175,2284,England Premier League,2009/2010,2,0
176,2285,England Premier League,2009/2010,0,0
177,2286,England Premier League,2009/2010,2,1
178,2287,England Premier League,2009/2010,1,0
179,2288,England Premier League,2009/2010,2,1
180,2289,England Premier League,2009/2010,1,0
181,2290,England Premier League,2009/2010,3,0
182,2291,England Premier League,2009/2010,2,0
183,2292,England Premier League,2009/2010,1,0
184,2293,England Premier League,2009/2010,1,1
185,2294,England Premier League,2009/2010,1,1
186,2295,England Premier League,2009/2010,1,0
187,2296,England Premier League,2009/2010,1,1
188,2297,England Premier League,2009/2010,2,1
189,2298,England Premier League,2009/2010,2,0
190,2299,England Premier League,2009/2010,2,1
191,2300,England Premier League,2009/2010,1,2
192,2301,England Premier League,2009/2010,3,0
193,2302,England Premier League,2009/2010,3,0
194,2303,England Premier League,2009/2010,3,1
195,2304,England Premier League,2009/2010,2,0
196,2305,England Premier League,2009/2010,0,3
197,2306,England Premier League,2009/2010,0,2
198,2307,England Premier League,2009/2010,0,0
199,2308,England Premier League,2009/2010,5,2
200,2309,England Premier League,2009/2010,0,0
201,2310,England Premier League,2009/2010,2,1
202,2311,England Premier League,2009/2010,1,3
203,2312,England Premier League,2009/2010,3,0
204,2313,England Premier League,2009/2010,2,1
205,2314,England Premier League,2009/2010,0,2
206,2315,England Premier League,2009/2010,2,4
207,2316,England Premier League,2009/2010,1,0
208,2317,England Premier League,2009/2010,1,2
209,2318,England Premier League,2009/2010,1,0
210,2319,England Premier League,2009/2010,1,0
211,2320,England Premier League,2009/2010,1,2
212,2321,England Premier League,2009/2010,0,1
213,2322,England Premier League,2009/2010,0,5
214,2323,England Premier League,2009/2010,5,1
215,2324,England Premier League,2009/2010,2,1
216,2325,England Premier League,2009/2010,1,1
217,2326,England Premier League,2009/2010,3,1
218,2327,England Premier League,2009/2010,0,1
219,2328,England Premier League,2009/2010,0,1
220,2329,England Premier League,2009/2010,4,1
221,2330,England Premier League,2009/2010,1,3
222,2331,England Premier League,2009/2010,2,1
223,2332,England Premier League,2009/2010,1,2
224,2333,England Premier League,2009/2010,1,0
225,2334,England Premier League,2009/2010,0,2
226,2335,England Premier League,2009/2010,0,0
227,2336,England Premier League,2009/2010,1,0
228,2337,England Premier League,2009/2010,1,0
229,2338,England Premier League,2009/2010,0,5
230,2339,England Premier League,2009/2010,3,1
231,2340,England Premier League,2009/2010,1,1
232,2341,England Premier League,2009/2010,0,0
233,2342,England Premier League,2009/2010,3,0
234,2343,England Premier League,2009/2010,4,1
235,2344,England Premier League,2009/2010,1,2
236,2345,England Premier League,2009/2010,2,2
237,2346,England Premier League,2009/2010,4,0
238,2347,England Premier League,2009/2010,1,2
239,2348,England Premier League,2009/2010,4,1
240,2349,England Premier League,2009/2010,1,0
241,2350,England Premier League,2009/2010,3,1
242,2351,England Premier League,2009/2010,2,0
243,2352,England Premier League,2009/2010,2,2
244,2353,England Premier League,2009/2010,1,1
245,2354,England Premier League,2009/2010,3,2
246,2355,England Premier League,2009/2010,2,0
247,2356,England Premier League,2009/2010,1,2
248,2357,England Premier League,2009/2010,2,1
249,2358,England Premier League,2009/2010,1,2
250,2359,England Premier League,2009/2010,3,0
251,2360,England Premier League,2009/2010,3,0
252,2361,England Premier League,2009/2010,2,0
253,2362,England Premier League,2009/2010,0,4
254,2363,England Premier League,2009/2010,0,1
255,2364,England Premier League,2009/2010,0,0
256,2365,England Premier League,2009/2010,2,0
257,2366,England Premier League,2009/2010,7,1
258,2367,England Premier League,2009/2010,0,1
259,2368,England Premier League,2009/2010,1,1
260,2369,England Premier League,2009/2010,3,1
261,2370,England Premier League,2009/2010,2,0
262,2371,England Premier League,2009/2010,0,0
263,2372,England Premier League,2009/2010,1,2
264,2373,England Premier League,2009/2010,2,1
265,2374,England Premier League,2009/2010,2,2
266,2375,England Premier League,2009/2010,1,6
267,2376,England Premier League,2009/2010,0,1
268,2377,England Premier League,2009/2010,1,1
269,2378,England Premier League,2009/2010,1,0
270,2379,England Premier League,2009/2010,1,0
271,2380,England Premier League,2009/2010,0,0
272,2381,England Premier League,2009/2010,0,0
273,2382,England Premier League,2009/2010,2,1
274,2383,England Premier League,2009/2010,5,1
